id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BRN,100.0,100.0,2.1,0.0
BRN,100.0,100.0,2.01,0.0
BRN,100.0,100.0,1.73,0.0
BRN,100.0,100.0,1.75,0.0
BRN,100.0,100.0,1.73,0.0
BRN,100.0,100.0,1.66,0.0
BRN,100.0,100.0,2.17,0.0
BRN,100.0,100.0,2.38,0.0
BRN,100.0,100.0,2.68,0.0
BRN,100.0,100.0,2.14,0.0
BRN,100.0,100.0,2.11,0.0
BRN,100.0,100.0,2.57,0.0
BRN,100.0,100.0,2.42,0.0
BRN,100.0,100.0,1.73,0.0
BRN,100.0,100.0,1.96,0.0
BRN,100.0,100.0,1.65,0.0
BRN,100.0,100.0,1.79,0.0
BRN,100.0,100.0,2.24,0.0
BRN,100.0,100.0,2.18,0.0
BRN,100.0,100.0,2.18,0.0
BRN,100.0,100.0,1.94,0.0
BRN,100.0,100.0,1.98,0.0
BRN,99.99999999999996,99.99999999999996,1.87,0.0
BRN,99.99999999999997,99.99999999999997,2.0616205533596843,0.0
BRN,99.99999999999999,99.99999999999999,2.0632411067193677,0.0
