id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CHE,100.0,100.0,0.71,18.2
CHE,100.0,100.0,0.68,18.7
CHE,100.0,100.0,0.72,18.2
CHE,100.0,100.0,0.74,18.0
CHE,100.0,100.0,0.77,18.1
CHE,100.0,100.0,0.86,18.7
CHE,100.0,100.0,0.79,18.1
CHE,100.0,100.0,0.71,19.3
CHE,100.0,100.0,0.72,19.5
CHE,100.0,100.0,0.71,20.0
CHE,100.0,100.0,0.73,20.6
CHE,100.0,100.0,0.7,20.6
CHE,100.0,100.0,0.67,21.9
CHE,100.0,100.0,0.67,21.8
CHE,100.0,100.0,0.6,22.2
CHE,100.0,100.0,0.63,23.9
CHE,100.0,100.0,0.69,24.1
CHE,100.0,100.0,0.69,25.0
CHE,100.0,100.0,0.6,24.2
CHE,100.0,100.0,0.56,24.8
CHE,100.0,100.0,0.52,26.4
CHE,100.0,100.0,0.59,25.70761904761904
CHE,99.99999999999996,99.99999999999996,0.6,26.129956709956705
CHE,99.99999999999997,99.99999999999997,0.5755731225296443,26.55229437229437
CHE,99.99999999999999,99.99999999999999,0.5667984189723321,26.97463203463203
