id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
COL,95.2,77.9,1.32,18.2
COL,98.47,79.0,1.32,18.7
COL,94.88,79.9,1.25,20.0
COL,95.08,80.7,1.24,20.7
COL,95.28,81.4,1.11,21.8
COL,96.8,82.3,1.21,21.7
COL,95.73,83.0,1.17,21.7
COL,95.98,83.7,1.1,22.0
COL,96.81,84.4,1.21,21.9
COL,96.06,85.2,1.28,22.5
COL,96.79,85.9,1.27,21.5
COL,96.69,86.7,1.24,21.9
COL,97.03,87.4,1.27,21.5
COL,97.78,88.2,1.2,21.2
COL,97.79,89.0,1.4,21.9
COL,98.19,89.6,1.24,21.4
COL,98.4,90.3,1.31,21.1
COL,98.5,90.9,1.18,23.6
COL,98.5,91.6,1.11,21.8
COL,99.44,92.1,1.2,23.5
COL,99.72,92.8,1.15,23.3
COL,100.0,93.3,1.13,23.23619047619047
COL,99.53987012987007,94.53246753246746,1.17,23.392294372294366
COL,99.7404912478825,95.26137775268204,1.1819762845849802,23.54839826839826
COL,99.94111236589492,95.99028797289662,1.1787351778656125,23.704502164502156
