id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CPV,58.56,62.5,2.03,0.5
CPV,60.26,63.1,2.11,0.3
CPV,58.6,63.4,2.09,0.3
CPV,63.65,63.9,2.08,0.3
CPV,65.35,64.3,1.94,0.3
CPV,67.0,65.0,1.89,0.3
CPV,68.79,65.9,1.97,0.3
CPV,70.54,66.7,1.88,0.3
CPV,72.31,67.7,1.64,0.2
CPV,74.09,68.8,1.67,0.2
CPV,81.1,70.0,1.61,0.4
CPV,82.26,71.0,1.68,0.9
CPV,83.25,72.0,1.33,2.6
CPV,84.27,73.1,1.22,3.7
CPV,85.33,74.3,1.14,3.1
CPV,86.42,75.3,1.17,3.7
CPV,87.53,76.5,1.11,3.6
CPV,88.61,77.6,1.2,3.2
CPV,90.2,78.6,1.25,3.6
CPV,91.4,79.7,1.26,3.3
CPV,93.75,80.7,1.22,3.0
CPV,95.52,81.8,1.32,3.2
CPV,95.80419504062145,82.11298701298696,1.31,4.019480519480516
CPV,97.0927238864914,83.07972896668544,0.9894071146245063,4.221569734613209
CPV,98.38125273236133,84.04647092038392,0.9409881422924905,4.423658949745903
