id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CRI,96.94,88.8,0.79,30.4
CRI,98.25,89.2,0.82,28.6
CRI,98.51,89.6,0.84,28.1
CRI,98.7,89.9,0.9,28.4
CRI,98.96,90.3,0.86,30.5
CRI,99.05,90.7,0.82,32.1
CRI,99.15,91.1,0.81,31.7
CRI,99.22,91.3,0.89,33.1
CRI,99.26,91.8,0.85,33.4
CRI,99.41,92.2,0.84,34.5
CRI,99.0,92.5,0.79,33.9
CRI,99.23,92.8,0.75,32.5
CRI,99.5,93.2,0.72,33.3
CRI,99.56,93.6,0.75,33.3
CRI,99.36,93.9,0.76,33.9
CRI,99.41,94.3,0.69,34.9
CRI,99.5,94.6,0.72,32.0
CRI,99.6,95.0,0.71,31.5
CRI,99.7,95.2,0.7,31.4
CRI,99.71,95.4,0.67,31.7
CRI,99.9,95.7,0.58,34.4
CRI,100.0,95.9,0.61,33.6192500393133
CRI,100.0,96.57792207792201,0.63,34.18260563877425
CRI,100.0,96.92461885940142,0.6234387351778656,34.7459612382352
CRI,100.0,97.27131564088081,0.6119861660079051,35.30931683769615
