id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CZE,100.0,100.0,1.77,5.9
CZE,100.0,100.0,1.73,6.3
CZE,100.0,100.0,1.66,7.3
CZE,100.0,100.0,1.57,6.7
CZE,99.98,100.0,1.56,7.1
CZE,99.95,100.0,1.57,7.5
CZE,100.0,100.0,1.55,7.9
CZE,100.0,100.0,1.49,8.3
CZE,100.0,100.0,1.51,9.0
CZE,100.0,100.0,1.44,10.3
CZE,100.0,100.0,1.41,11.0
CZE,100.0,100.0,1.36,12.2
CZE,100.0,100.0,1.32,12.8
CZE,100.0,100.0,1.27,14.0
CZE,100.0,100.0,1.26,14.9
CZE,100.0,100.0,1.3,14.8
CZE,100.0,100.0,1.36,14.8
CZE,100.0,100.0,1.32,14.5
CZE,100.0,100.0,1.29,14.7
CZE,100.0,100.0,1.24,15.9
CZE,100.0,100.0,1.2,17.0
CZE,100.0,100.0,1.24,17.497619047619043
CZE,100.0,99.99999999999996,1.24,18.080086580086576
CZE,100.0,99.99999999999997,1.137905138339921,18.66255411255411
CZE,100.0,99.99999999999999,1.114397233201581,19.245021645021644
