id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
DNK,100.0,100.0,1.51,10.7
DNK,100.0,100.0,1.48,11.1
DNK,100.0,100.0,1.42,11.9
DNK,100.0,100.0,1.31,12.7
DNK,100.0,100.0,1.36,14.4
DNK,100.0,100.0,1.42,16.1
DNK,100.0,100.0,1.31,15.3
DNK,100.0,100.0,1.39,17.7
DNK,100.0,100.0,1.4,18.5
DNK,100.0,100.0,1.34,19.3
DNK,100.0,100.0,1.3,21.2
DNK,100.0,100.0,1.29,23.8
DNK,100.0,100.0,1.33,26.9
DNK,100.0,100.0,1.24,27.1
DNK,100.0,100.0,1.2,30.2
DNK,100.0,100.0,1.24,32.5
DNK,100.0,100.0,1.24,31.9
DNK,100.0,100.0,1.14,35.0
DNK,100.0,100.0,1.16,34.6
DNK,100.0,100.0,1.06,37.3
DNK,100.0,100.0,0.99,39.7
DNK,100.0,100.0,0.94,40.84807654437195
DNK,99.99999999999996,99.99999999999996,0.86,42.53611344168326
DNK,99.99999999999997,99.99999999999997,0.9824901185770751,44.22415033899456
DNK,99.99999999999999,99.99999999999999,0.9595454545454546,45.912187236305876
