id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
DZA,98.64,96.9,3.36,0.3
DZA,98.64,97.3,3.26,0.3
DZA,98.63,97.6,3.28,0.4
DZA,98.62,97.9,3.2,0.3
DZA,98.61,98.2,2.94,0.3
DZA,98.61,98.4,3.27,0.5
DZA,98.7,98.6,3.01,0.3
DZA,98.69,98.8,2.95,0.3
DZA,99.3,99.0,2.76,0.2
DZA,98.83,99.1,3.09,0.2
DZA,98.91,99.2,2.59,0.2
DZA,99.0,99.3,2.44,0.2
DZA,98.77,99.4,2.36,0.2
DZA,99.19,99.4,2.35,0.1
DZA,99.28,99.5,2.35,0.1
DZA,99.36,99.6,2.33,0.1
DZA,99.43,99.6,2.23,0.1
DZA,99.53,99.6,2.17,0.1
DZA,99.64,99.6,2.23,0.2
DZA,99.5,99.7,2.19,0.2
DZA,99.72,99.7,2.15,0.1
DZA,99.79,99.7,2.11,0.07380952380952377
DZA,99.74610389610386,100.0,2.0,0.060173160173160135
DZA,99.80548842461883,100.0,1.8577865612648223,0.046536796536796494
DZA,99.86487295313381,100.0,1.7929644268774707,0.03290043290043286
