id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
EST,100.0,100.0,1.82,19.8
EST,100.0,100.0,1.87,18.9
EST,100.0,100.0,1.8,19.3
EST,100.0,100.0,1.7,19.9
EST,99.98,100.0,1.68,20.0
EST,99.95,100.0,1.68,18.9
EST,100.0,100.0,1.69,17.2
EST,100.0,100.0,1.64,18.7
EST,100.0,100.0,1.68,20.5
EST,100.0,100.0,1.64,24.2
EST,100.0,100.0,1.46,25.3
EST,100.0,100.0,1.47,25.2
EST,100.0,100.0,1.49,25.0
EST,100.0,100.0,1.48,24.5
EST,100.0,100.0,1.51,25.3
EST,100.0,100.0,1.56,28.2
EST,100.0,100.0,1.44,27.2
EST,100.0,100.0,1.42,27.5
EST,100.0,100.0,1.45,28.6
EST,100.0,100.0,1.62,31.3
EST,100.0,100.0,1.52,40.0
EST,100.0,100.0,1.42,44.57480266844984
EST,100.0,99.99999999999996,1.47,50.60145060850955
EST,100.0,99.99999999999997,1.3852173913043477,56.628098548569284
EST,100.0,99.99999999999999,1.3683695652173913,62.654746488629
