id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
FIN,100.0,100.0,0.83,31.7
FIN,100.0,100.0,0.86,29.2
FIN,100.0,100.0,0.89,29.5
FIN,100.0,100.0,0.88,28.4
FIN,100.0,100.0,0.82,31.1
FIN,100.0,100.0,0.82,31.5
FIN,100.0,100.0,0.84,31.3
FIN,100.0,100.0,0.84,31.8
FIN,100.0,100.0,0.77,34.6
FIN,100.0,100.0,0.79,32.5
FIN,100.0,100.0,0.81,33.4
FIN,100.0,100.0,0.79,35.1
FIN,100.0,100.0,0.74,38.7
FIN,100.0,100.0,0.74,38.5
FIN,100.0,100.0,0.72,41.2
FIN,100.0,100.0,0.66,43.2
FIN,100.0,100.0,0.7,42.4
FIN,100.0,100.0,0.68,44.5
FIN,100.0,100.0,0.66,44.3
FIN,100.0,100.0,0.63,45.6
FIN,100.0,100.0,0.56,47.5
FIN,100.0,100.0,0.54,48.14105356409971
FIN,99.99999999999996,99.99999999999996,0.52,49.17168733848642
FIN,99.99999999999997,99.99999999999997,0.5618577075098814,50.202321112873115
FIN,99.99999999999999,99.99999999999999,0.5467588932806323,51.23295488725983
