id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GAB,73.6,64.4,4.69,17.4
GAB,77.17,66.1,4.64,17.5
GAB,77.83,68.0,4.24,33.8
GAB,78.49,69.7,4.42,44.2
GAB,79.16,71.4,4.17,51.3
GAB,81.6,73.0,3.97,55.1
GAB,80.54,74.6,3.35,58.9
GAB,81.26,76.2,2.92,62.0
GAB,82.0,77.6,2.97,63.9
GAB,82.75,79.0,2.91,65.8
GAB,89.33,80.5,3.03,65.3
GAB,88.73,81.7,2.87,52.7
GAB,89.3,82.9,2.61,43.4
GAB,86.4,84.0,2.83,60.2
GAB,87.08,85.1,3.2,57.2
GAB,87.33,86.0,3.06,57.4
GAB,88.08,86.8,2.96,56.7
GAB,86.27,87.6,2.62,63.2
GAB,89.58,88.2,2.41,63.2
GAB,90.32,88.8,2.38,63.0
GAB,91.06,89.3,2.49,63.2
GAB,91.81,89.7,2.51,63.062552678416914
GAB,92.93684424307969,93.02457190267891,2.39,63.00601428600261
GAB,93.93328636097209,94.13834211826178,2.0115810276679844,62.9494758935883
GAB,94.92972847886452,95.25211233384462,1.9124011857707508,62.892937501173975
