id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GEO,99.84,47.0,0.61,47.3
GEO,99.8,48.0,0.54,53.1
GEO,99.9,48.9,0.47,56.8
GEO,100.0,50.7,0.53,55.3
GEO,99.93,52.5,0.62,54.5
GEO,97.94,54.3,0.7,41.5
GEO,100.0,56.5,0.82,37.2
GEO,100.0,58.6,0.75,36.2
GEO,100.0,61.1,0.63,36.3
GEO,100.0,63.4,0.74,36.7
GEO,100.0,66.2,0.62,39.1
GEO,100.0,68.8,0.78,31.5
GEO,100.0,71.5,0.86,28.7
GEO,100.0,74.1,0.8,32.4
GEO,100.0,76.9,0.87,30.7
GEO,100.0,79.3,0.91,27.5
GEO,100.0,81.7,0.88,27.2
GEO,100.0,83.8,0.89,27.5
GEO,99.9,85.75,0.84,27.4
GEO,100.0,87.6,0.92,24.7
GEO,100.0,89.3,0.95,23.5
GEO,100.0,90.6,0.87,23.379438331346154
GEO,100.0,94.40686154431886,0.78,22.52348753741083
GEO,100.0,96.72126134143613,0.9609090909090912,21.667536743475505
GEO,100.0,99.03566113855341,0.9780138339920951,20.811585949540177
