id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GHA,43.7,6.3,0.74,24.0
GHA,44.84,6.9,0.76,23.7
GHA,46.83,7.6,0.89,21.0
GHA,48.3,8.1,1.14,19.2
GHA,50.82,9.05,1.07,19.7
GHA,41.25,9.95,0.91,19.8
GHA,55.09,10.7,1.02,18.8
GHA,56.91,11.7,1.29,15.8
GHA,60.5,12.7,1.0,17.2
GHA,61.06,13.9,0.77,15.7
GHA,64.2,15.1,0.88,15.6
GHA,64.06,16.3,0.91,15.4
GHA,56.51,17.7,1.04,16.2
GHA,70.7,18.9,0.97,17.3
GHA,78.3,20.2,1.01,16.0
GHA,74.0,21.4,1.25,13.4
GHA,79.3,22.9,1.06,14.7
GHA,79.0,24.4,0.94,11.3
GHA,80.4,25.7,1.02,10.6
GHA,83.5,27.3,0.95,11.4
GHA,85.44,28.7,0.97,11.0
GHA,86.3,30.3,0.95,10.204862151302478
GHA,88.56411305322557,29.994155844155824,0.93,9.764149145792073
GHA,90.41886839331666,31.156493506493486,1.0202371541501976,9.323436140281668
GHA,92.27362373340773,32.31883116883115,1.0238438735177866,8.882723134771265
