id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GIN,15.16,0.7,1.85,1.8
GIN,16.42,0.8,1.63,1.9
GIN,17.68,0.8,1.61,2.0
GIN,18.93,0.8,1.98,1.5
GIN,20.19,0.8,1.97,1.9
GIN,20.2,0.8,2.32,1.7
GIN,22.76,0.8,2.61,1.6
GIN,24.07,0.8,2.51,1.8
GIN,25.4,0.8,2.44,1.7
GIN,26.75,0.8,2.65,1.5
GIN,28.1,0.8,3.95,1.5
GIN,29.46,0.8,4.68,1.3
GIN,26.2,0.8,3.31,1.5
GIN,32.18,0.8,3.23,1.5
GIN,33.53,0.8,3.03,1.4
GIN,34.88,0.8,2.15,2.3
GIN,33.5,0.8,1.7,2.8
GIN,35.4,0.9,1.83,2.9
GIN,45.0,0.9,2.12,2.9
GIN,42.2,0.9,1.91,2.9
GIN,44.75,0.9,1.3,3.1
GIN,46.81,1.0,1.62,3.0
GIN,48.61639371855419,0.9051948051948048,1.63,2.7480519480519456
GIN,50.52542538805759,0.9123658949745902,2.213241106719367,2.8111236589497435
GIN,52.43445705756099,0.9195369847543757,2.2019169960474305,2.8741953698475413
