id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GMB,34.3,3.6,2.13,0.0
GMB,29.92,3.5,2.04,0.0
GMB,31.54,3.5,1.96,0.0
GMB,27.8,3.3,1.77,0.0
GMB,34.79,3.3,1.72,0.0
GMB,30.46,3.3,1.58,0.0
GMB,38.08,3.1,1.6,0.0
GMB,39.76,3.0,1.51,0.1
GMB,41.45,2.9,1.49,0.1
GMB,43.16,2.8,1.53,0.1
GMB,46.8,2.6,1.71,0.1
GMB,48.32,2.6,1.77,0.1
GMB,49.86,2.4,1.78,0.1
GMB,51.5,2.3,1.67,0.1
GMB,53.04,2.1,1.97,0.1
GMB,54.69,2.0,2.04,0.1
GMB,56.35,2.0,1.96,0.1
GMB,56.2,1.9,1.87,0.1
GMB,60.3,1.8,1.66,0.1
GMB,62.1,1.8,1.55,0.1
GMB,62.23,1.8,1.45,0.1
GMB,63.7,1.7,1.52,0.1
GMB,65.68695266816152,1.458441558441558,1.51,0.1363636363636363
GMB,67.2644785277357,1.3587803500846976,1.5955335968379447,0.14229249011857698
GMB,68.84200438730988,1.2591191417278376,1.5843280632411068,0.1482213438735177
