id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GNB,,1.4,5.84,7.3
GNB,,1.4,6.03,7.3
GNB,1.28,1.3,6.52,7.3
GNB,2.59,1.3,8.95,7.2
GNB,3.9,1.2,7.12,7.2
GNB,5.22,1.2,8.11,7.3
GNB,14.54,1.2,7.75,7.3
GNB,7.93,1.2,7.77,7.3
GNB,9.31,1.1,7.62,7.4
GNB,4.7,1.2,7.59,7.4
GNB,6.0,1.1,7.44,7.5
GNB,13.52,1.1,7.49,7.6
GNB,14.93,1.1,8.41,7.6
GNB,16.34,1.1,10.67,7.7
GNB,17.2,1.1,9.06,7.7
GNB,20.11,1.1,4.71,7.8
GNB,22.92,1.1,3.83,7.9
GNB,26.0,1.1,3.81,8.0
GNB,28.38,1.1,3.81,8.0
GNB,30.93,1.0,3.91,8.0
GNB,33.37,1.0,3.62,8.3
GNB,35.76,1.0,3.92,8.3
GNB,37.94498381665214,0.9701298701298695,3.85,8.19610389610389
GNB,40.364682396001434,0.9540937323546015,3.3338665957886864,8.247148503670237
GNB,42.78438097535073,0.9380575945793332,3.194226242243494,8.298193111236586
