id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GRD,85.96,92.5,1.46,0.8
GRD,86.28,92.8,1.36,0.8
GRD,86.58,93.0,1.38,0.8
GRD,86.89,93.1,1.36,0.8
GRD,87.2,93.1,1.51,0.8
GRD,87.52,93.2,1.47,0.8
GRD,87.86,93.1,1.38,0.8
GRD,88.22,93.1,1.36,0.8
GRD,90.0,93.0,1.34,0.8
GRD,88.99,92.8,1.25,0.8
GRD,89.39,92.7,1.24,0.8
GRD,88.8,92.4,1.23,0.8
GRD,90.21,92.1,1.34,0.8
GRD,90.62,91.9,1.53,0.8
GRD,91.02,91.5,1.16,0.8
GRD,91.42,91.1,1.25,0.8
GRD,91.81,90.7,1.21,1.0
GRD,92.2,90.1,1.21,1.0
GRD,92.3,89.7,1.31,1.0
GRD,92.97,89.2,1.35,0.9
GRD,93.36,88.7,1.28,1.0
GRD,93.74,88.3,1.4,1.0
GRD,93.96792207792201,89.2298701298701,1.42,0.963636363636363
GRD,94.33928289102197,89.01230942970071,1.2780632411067194,0.9735177865612641
GRD,94.7106437041219,88.79474872953129,1.272974308300395,0.9833992094861654
