id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GTM,73.32,40.7,1.51,9.4
GTM,73.73,39.9,1.52,9.7
GTM,78.67,39.2,1.61,6.7
GTM,78.51,38.7,1.51,6.7
GTM,77.15,38.3,1.74,7.3
GTM,78.31,37.9,1.74,7.3
GTM,83.73,37.7,1.55,7.8
GTM,80.68,37.8,1.39,7.3
GTM,81.89,37.8,1.26,5.9
GTM,83.11,38.1,1.28,5.4
GTM,84.35,38.5,1.26,6.6
GTM,84.03,39.1,1.28,6.6
GTM,86.83,39.7,1.24,6.9
GTM,88.07,40.6,1.27,7.0
GTM,85.49,41.3,1.3,7.0
GTM,90.54,42.2,1.43,6.1
GTM,91.77,43.2,1.43,6.2
GTM,93.3,44.2,1.4,6.8
GTM,94.21,45.3,1.35,6.3
GTM,95.43,46.3,1.46,6.1
GTM,96.65,47.3,1.37,6.9
GTM,97.87,48.1,1.54,5.903809523809522
GTM,98.98265949956128,47.72152158322025,1.46,5.808484848484846
GTM,100.0,48.4684780003468,1.3350988142292488,5.713160173160171
GTM,100.0,49.21543441747333,1.3271541501976283,5.617835497835496
