id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
HND,67.42,30.3,1.38,14.2
HND,64.2,31.9,1.45,12.7
HND,63.14,33.3,1.43,12.8
HND,65.09,34.6,1.43,11.7
HND,67.11,36.0,1.39,9.4
HND,68.9,37.35,1.24,14.0
HND,71.27,38.6,1.29,14.7
HND,73.55,39.4,1.31,14.9
HND,76.4,40.6,1.32,12.3
HND,78.27,41.4,1.17,9.0
HND,80.99,42.4,1.11,12.6
HND,82.2,43.3,1.19,10.4
HND,83.61,44.0,1.18,9.7
HND,87.19,44.5,1.14,9.5
HND,88.65,45.3,1.14,10.3
HND,89.98,45.8,1.11,10.2
HND,91.6,46.5,1.01,12.6
HND,86.5,47.4,1.05,14.5
HND,91.6,47.75,0.98,15.0
HND,91.1,48.6,1.01,13.6
HND,93.09,49.05,0.9,13.7
HND,94.13,49.5,0.94,12.628827337760741
HND,95.55787780752465,51.89870129870127,0.93,11.777212762593972
HND,96.92052752332323,52.7849520045172,0.8827667984189724,10.925598187427205
HND,98.28317723912181,53.67120271033312,0.8581422924901185,10.073983612260427
