id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
HRV,100.0,100.0,1.86,26.8
HRV,100.0,100.0,1.72,26.9
HRV,100.0,100.0,1.8,24.6
HRV,99.97,100.0,1.85,24.8
HRV,99.93,100.0,1.75,26.6
HRV,99.88,100.0,1.91,26.8
HRV,99.85,100.0,1.93,25.5
HRV,99.83,100.0,2.08,22.7
HRV,100.0,100.0,1.95,24.1
HRV,100.0,100.0,1.74,27.2
HRV,100.0,100.0,1.44,29.8
HRV,100.0,100.0,1.86,27.2
HRV,100.0,100.0,1.83,29.4
HRV,100.0,100.0,1.34,32.8
HRV,100.0,100.0,1.34,33.6
HRV,100.0,100.0,1.6,33.1
HRV,100.0,100.0,1.49,31.8
HRV,100.0,100.0,1.64,29.8
HRV,100.0,100.0,1.36,32.8
HRV,100.0,100.0,1.48,31.6
HRV,100.0,100.0,1.32,32.4
HRV,100.0,100.0,1.16,32.774733711886995
HRV,100.0,99.99999999999996,1.24,33.265610980269045
HRV,100.0,99.99999999999997,1.2781027667984188,33.75648824865109
HRV,100.0,99.99999999999999,1.248053359683794,34.247365517033124
