id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
HTI,33.7,2.5,3.0,7.6
HTI,31.54,2.7,2.49,7.5
HTI,33.12,2.8,3.28,6.7
HTI,31.6,3.0,3.2,6.7
HTI,34.05,3.1,3.04,7.0
HTI,34.53,3.2,3.12,7.1
HTI,33.9,3.3,3.09,7.1
HTI,35.55,3.5,3.8,6.5
HTI,36.09,3.5,3.64,5.0
HTI,36.64,3.6,2.63,5.0
HTI,37.2,3.7,3.1,4.2
HTI,37.76,3.7,2.31,4.2
HTI,37.9,3.7,2.06,4.6
HTI,38.9,3.8,2.57,4.5
HTI,39.55,3.9,2.62,4.3
HTI,40.8,3.9,2.56,4.2
HTI,40.4,4.0,2.75,4.2
HTI,43.29,4.0,2.97,4.2
HTI,44.44,4.1,3.26,4.3
HTI,45.44,4.1,2.91,4.3
HTI,46.34,4.2,2.36,4.2
HTI,47.18,4.3,2.35,3.2628571428571402
HTI,46.75001272389791,4.451948051948049,2.35,3.0685714285714254
HTI,47.528031415383246,4.528402032749855,2.497588932806324,2.874285714285711
HTI,48.30605010686859,4.604856013551663,2.4685474308300392,2.679999999999996
