id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
IDN,86.3,6.7,2.87,9.0
IDN,86.26,7.8,3.12,8.4
IDN,87.6,9.2,2.85,7.9
IDN,87.94,11.0,3.01,7.2
IDN,89.01,13.4,2.86,6.6
IDN,84.78,16.0,2.73,6.4
IDN,90.62,19.7,2.61,6.4
IDN,91.1,24.2,2.73,6.2
IDN,92.73,29.3,2.45,6.5
IDN,93.55,35.0,2.54,6.5
IDN,94.15,40.7,2.63,6.3
IDN,94.83,46.5,2.75,5.7
IDN,96.0,52.15,2.63,5.7
IDN,96.46,57.2,2.23,6.7
IDN,97.01,62.0,2.17,6.9
IDN,97.54,66.8,2.04,6.5
IDN,97.62,70.85,2.34,8.2
IDN,98.14,74.7,2.13,7.8
IDN,98.51,78.5,2.13,8.9
IDN,98.85,81.6,2.3,9.7
IDN,96.95,84.4,2.17,13.0
IDN,99.21,86.9,2.01,9.915603000682797
IDN,99.52212649566684,91.8023789598824,2.16,10.254438468333767
IDN,99.88210169374301,95.2797193439406,1.9647826086956521,10.593273935984735
IDN,100.0,98.75705972799881,1.9203260869565213,10.932109403635707
