id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
IRQ,96.81,70.5,2.61,0.4
IRQ,96.94,74.4,2.99,0.3
IRQ,97.05,77.9,2.85,0.3
IRQ,97.17,81.1,3.57,0.4
IRQ,97.29,84.2,3.49,0.4
IRQ,97.42,86.8,3.75,2.4
IRQ,97.62,89.0,2.91,2.6
IRQ,98.1,91.1,1.84,2.0
IRQ,97.94,92.7,2.55,1.2
IRQ,98.15,94.0,2.77,1.2
IRQ,98.36,95.1,2.32,1.7
IRQ,98.0,95.9,3.01,1.1
IRQ,99.3,96.7,2.9,1.3
IRQ,99.02,97.3,2.41,1.5
IRQ,99.24,97.8,2.02,1.0
IRQ,99.45,98.1,2.07,0.8
IRQ,99.65,98.5,1.98,0.9
IRQ,99.88,98.7,2.07,0.6
IRQ,99.9,98.9,2.24,0.5
IRQ,99.99,99.0,2.16,1.0
IRQ,100.0,99.2,1.87,1.1
IRQ,100.0,99.3,1.96,1.1309523809523807
IRQ,100.0,100.0,1.55,1.1354978354978351
IRQ,100.0,100.0,1.7301976284584988,1.1400432900432897
IRQ,100.0,100.0,1.664634387351779,1.1445887445887444
