id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ISL,100.0,100.0,0.39,60.7
ISL,100.0,100.0,0.36,62.1
ISL,100.0,100.0,0.36,61.8
ISL,100.0,100.0,0.35,61.9
ISL,100.0,100.0,0.36,61.9
ISL,100.0,100.0,0.35,62.7
ISL,100.0,100.0,0.32,64.2
ISL,100.0,100.0,0.29,67.5
ISL,100.0,100.0,0.23,73.9
ISL,100.0,100.0,0.22,74.6
ISL,100.0,100.0,0.22,75.9
ISL,100.0,100.0,0.21,77.1
ISL,100.0,100.0,0.2,77.7
ISL,100.0,100.0,0.19,76.6
ISL,100.0,100.0,0.19,76.9
ISL,100.0,100.0,0.19,77.8
ISL,100.0,100.0,0.19,80.8
ISL,100.0,100.0,0.19,80.7
ISL,100.0,100.0,0.19,81.3
ISL,100.0,100.0,0.18,81.6
ISL,100.0,100.0,0.18,82.8
ISL,100.0,100.0,0.18,83.23850085303575
ISL,99.99999999999996,99.99999999999996,0.18,83.94035088998895
ISL,99.99999999999997,99.99999999999997,0.1243083003952569,84.64220092694212
ISL,99.99999999999999,99.99999999999999,0.11394268774703553,85.34405096389531
