id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ISR,100.0,100.0,1.4,6.0
ISR,100.0,100.0,1.43,6.3
ISR,100.0,100.0,1.3,6.5
ISR,100.0,100.0,1.33,6.5
ISR,100.0,100.0,1.24,6.7
ISR,100.0,100.0,1.16,7.0
ISR,100.0,100.0,1.23,6.9
ISR,100.0,100.0,1.17,6.7
ISR,100.0,100.0,1.2,8.9
ISR,100.0,100.0,1.17,8.5
ISR,100.0,100.0,1.17,8.6
ISR,100.0,100.0,1.15,9.1
ISR,100.0,100.0,1.19,2.9
ISR,100.0,100.0,1.03,3.3
ISR,100.0,100.0,0.99,3.7
ISR,100.0,100.0,0.98,3.7
ISR,100.0,100.0,0.91,4.0
ISR,100.0,100.0,0.87,3.9
ISR,100.0,100.0,0.87,3.8
ISR,100.0,100.0,0.81,4.5
ISR,100.0,100.0,0.77,5.6
ISR,100.0,100.0,0.75,4.876123554432867
ISR,99.99999999999996,99.99999999999996,0.74,5.064871650389275
ISR,99.99999999999997,99.99999999999997,0.7183794466403165,5.253619746345683
ISR,99.99999999999999,99.99999999999999,0.6881719367588935,5.442367842302092
