id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
JAM,84.43,74.7,1.52,6.0
JAM,87.71,76.6,1.56,4.5
JAM,86.68,78.3,1.47,4.7
JAM,86.54,79.6,1.49,4.8
JAM,87.24,81.1,1.46,3.6
JAM,87.96,82.2,1.4,2.7
JAM,88.69,83.4,1.54,2.6
JAM,89.45,84.0,1.78,3.1
JAM,92.0,85.0,2.55,3.1
JAM,91.01,85.6,1.8,3.6
JAM,92.2,86.1,1.78,4.2
JAM,91.1,86.2,1.89,6.5
JAM,93.1,86.5,1.84,8.7
JAM,93.9,86.35,1.98,9.2
JAM,93.3,86.4,1.81,10.1
JAM,94.9,86.0,1.87,10.3
JAM,96.59,85.8,1.82,9.4
JAM,97.37,85.4,1.78,9.2
JAM,98.15,84.8,2.04,7.4
JAM,98.93,84.2,1.69,6.3
JAM,99.71,83.4,1.51,7.8
JAM,100.0,82.5,1.52,7.340190590569039
JAM,100.0,84.20409479877401,1.42,6.999817736965301
JAM,100.0,84.01346843866625,1.7984189723320159,6.659444883361564
JAM,100.0,83.82284207855847,1.805098814229249,6.319072029757828
