id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
JOR,99.01,99.6,2.06,2.0
JOR,99.02,99.7,2.07,2.1
JOR,99.5,99.7,2.02,2.0
JOR,99.01,99.8,2.11,1.9
JOR,99.17,99.8,2.08,1.8
JOR,99.04,99.8,2.12,1.6
JOR,100.0,99.9,1.85,2.2
JOR,98.8,99.9,1.67,2.3
JOR,100.0,99.9,1.46,2.7
JOR,99.4,99.9,1.5,2.7
JOR,100.0,99.9,1.4,2.9
JOR,99.6,99.9,1.45,3.0
JOR,99.5,99.9,1.44,2.9
JOR,99.7,99.9,1.38,3.1
JOR,99.79,99.9,1.42,3.1
JOR,99.89,99.9,1.34,3.2
JOR,99.95,99.9,1.26,4.2
JOR,100.0,99.9,1.24,4.7
JOR,99.9,99.9,1.23,6.3
JOR,99.9,99.9,1.21,7.6
JOR,99.9,99.9,1.02,10.1
JOR,99.9,99.9,1.06,7.2352905853490554
JOR,100.0,99.96753246753242,1.05,7.640470887646944
JOR,100.0,99.97735742518348,0.9096837944664034,8.04565118994483
JOR,100.0,99.98718238283453,0.8570849802371542,8.450831492242719
