id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KAZ,99.58,84.8,2.78,2.5
KAZ,99.65,85.5,2.51,2.4
KAZ,99.81,86.3,2.71,2.8
KAZ,99.92,87.1,2.76,2.3
KAZ,99.96,87.7,2.79,1.9
KAZ,100.0,88.5,2.95,2.1
KAZ,99.77,89.3,3.08,2.1
KAZ,100.0,89.8,2.96,1.8
KAZ,100.0,90.4,2.83,1.2
KAZ,100.0,90.9,2.86,1.3
KAZ,100.0,91.5,3.01,1.4
KAZ,99.8,91.95,2.76,1.4
KAZ,100.0,92.2,2.66,1.3
KAZ,100.0,92.6,2.48,1.2
KAZ,100.0,92.9,2.88,1.3
KAZ,100.0,93.1,3.04,1.7
KAZ,100.0,93.3,2.94,2.1
KAZ,100.0,93.5,2.85,2.0
KAZ,100.0,93.7,2.86,1.9
KAZ,100.0,93.8,2.58,1.8
KAZ,100.0,93.8,2.3,1.8
KAZ,100.0,93.9,2.22,1.4352380952380948
KAZ,100.0,95.78311688311682,2.28,1.3999134199134196
KAZ,100.0,96.22058159232066,2.565415019762846,1.3645887445887441
KAZ,100.0,96.65804630152451,2.550612648221344,1.329264069264069
