id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KOR,100.0,100.0,1.56,0.7
KOR,100.0,100.0,1.5,0.7
KOR,100.0,100.0,1.48,0.7
KOR,100.0,100.0,1.44,0.8
KOR,100.0,100.0,1.37,0.8
KOR,100.0,100.0,1.32,0.9
KOR,100.0,100.0,1.28,0.9
KOR,100.0,100.0,1.25,1.0
KOR,100.0,100.0,1.22,1.1
KOR,100.0,100.0,1.21,1.2
KOR,100.0,100.0,1.22,1.3
KOR,100.0,100.0,1.22,1.3
KOR,100.0,100.0,1.2,1.6
KOR,100.0,100.0,1.2,1.9
KOR,100.0,100.0,1.17,2.9
KOR,100.0,100.0,1.18,2.7
KOR,100.0,100.0,1.16,2.6
KOR,100.0,100.0,1.18,2.8
KOR,100.0,100.0,1.16,3.2
KOR,100.0,100.0,1.14,3.2
KOR,100.0,100.0,1.04,3.6
KOR,100.0,100.0,1.04,3.382380952380952
KOR,99.99999999999996,99.99999999999996,0.99,3.5344588744588736
KOR,99.99999999999997,99.99999999999997,0.9960474308300391,3.686536796536796
KOR,99.99999999999999,99.99999999999999,0.9756818181818177,3.838614718614718
