id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KWT,100.0,100.0,1.7,0.0
KWT,100.0,100.0,1.72,0.0
KWT,100.0,100.0,1.65,0.0
KWT,100.0,100.0,1.57,0.0
KWT,100.0,100.0,1.59,0.0
KWT,100.0,100.0,1.7,0.0
KWT,100.0,100.0,1.6,0.0
KWT,100.0,100.0,1.58,0.0
KWT,100.0,100.0,1.63,0.0
KWT,100.0,100.0,1.67,0.0
KWT,100.0,100.0,1.59,0.0
KWT,100.0,100.0,1.53,0.0
KWT,100.0,100.0,1.67,0.0
KWT,100.0,100.0,1.37,0.0
KWT,100.0,100.0,1.16,0.0
KWT,100.0,100.0,1.37,0.0
KWT,100.0,100.0,1.56,0.0
KWT,100.0,100.0,1.42,0.0
KWT,100.0,100.0,1.42,0.0
KWT,100.0,100.0,1.45,0.1
KWT,100.0,100.0,1.31,0.1
KWT,100.0,100.0,1.28,0.03666666666666667
KWT,99.99999999999996,99.99999999999996,1.26,0.03913419913419914
KWT,99.99999999999997,99.99999999999997,1.286561264822135,0.04160173160173161
KWT,99.99999999999999,99.99999999999999,1.2676877470355739,0.04406926406926408
