id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LBN,99.3,,1.55,1.6
LBN,99.28,,1.65,1.4
LBN,99.25,,1.41,2.3
LBN,99.22,,1.43,3.5
LBN,99.9,,1.5,3.0
LBN,99.18,,1.42,3.1
LBN,99.38,,1.31,2.6
LBN,97.8,,1.3,2.8
LBN,99.9,,1.4,1.5
LBN,99.32,,1.61,1.7
LBN,99.5,,1.27,2.7
LBN,99.68,,1.24,3.2
LBN,99.53,,1.36,3.1
LBN,99.61,,1.18,3.4
LBN,99.68,,1.34,1.8
LBN,99.74,,1.38,2.0
LBN,99.8,,1.36,1.8
LBN,99.85,,1.31,2.0
LBN,99.7,,1.23,2.6
LBN,99.95,,1.19,3.0
LBN,99.98,,1.22,4.0
LBN,100.0,,2.27,2.827142857142856
LBN,99.9732467532467,,2.38,2.854285714285713
LBN,100.0,,1.5522529644268774,2.8814285714285703
LBN,100.0,,1.5609189723320158,2.9085714285714275
