id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LBY,99.8,,3.44,0.0
LBY,96.95,,3.3,0.0
LBY,95.23,,3.0,0.0
LBY,93.52,,2.93,0.0
LBY,91.81,,2.81,0.0
LBY,90.11,,2.72,0.0
LBY,88.44,,2.25,0.0
LBY,86.78,,1.97,0.0
LBY,85.14,,1.87,0.0
LBY,83.51,,1.76,0.0
LBY,81.9,,1.88,0.0
LBY,80.29,,2.15,0.0
LBY,78.68,,1.61,0.0
LBY,77.07,,1.15,0.0
LBY,75.45,,1.61,0.0
LBY,73.83,,1.45,0.0
LBY,72.21,,1.64,0.0
LBY,70.58,,1.61,0.0
LBY,67.0,,1.58,0.0
LBY,68.47,,2.04,0.0
LBY,69.37,,1.6,0.0
LBY,70.21,,2.06,0.0
LBY,66.55742736282953,,2.08,0.0
LBY,65.61472427454763,,1.2820553359683795,0.0
LBY,64.67202118626571,,1.213132411067194,0.0
