id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LIE,100.0,,,53.9
LIE,100.0,,,51.6
LIE,100.0,,,51.3
LIE,100.0,,,50.2
LIE,100.0,,,50.3
LIE,100.0,,,49.9
LIE,100.0,,,50.8
LIE,100.0,,,53.4
LIE,100.0,,,53.0
LIE,100.0,,,55.2
LIE,100.0,,,52.3
LIE,100.0,,,55.3
LIE,100.0,,,55.5
LIE,100.0,,,53.5
LIE,100.0,,,55.0
LIE,100.0,,,55.5
LIE,100.0,,,55.8
LIE,100.0,,,55.3
LIE,100.0,,,56.8
LIE,100.0,,,56.1
LIE,100.0,,,55.2
LIE,100.0,,,55.3
LIE,99.99999999999996,,,56.323179552154386
LIE,99.99999999999997,,,56.49545075929653
LIE,99.99999999999999,,,56.66772196643868
