id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LKA,70.34,16.4,1.46,22.0
LKA,63.6,17.1,1.53,19.7
LKA,80.7,17.5,1.55,21.3
LKA,74.97,18.1,1.36,21.3
LKA,76.52,18.7,1.39,22.2
LKA,78.07,19.2,1.35,22.0
LKA,82.05,19.8,1.35,24.0
LKA,80.0,20.4,1.23,23.0
LKA,82.86,20.8,1.2,22.3
LKA,87.09,21.5,1.3,22.5
LKA,85.3,22.0,1.22,24.0
LKA,87.76,22.7,1.28,24.5
LKA,87.0,23.3,1.33,23.2
LKA,90.2,24.1,1.21,27.5
LKA,92.7,24.8,1.36,25.9
LKA,94.33,25.9,1.49,26.3
LKA,97.5,27.0,1.6,23.3
LKA,97.5,27.9,1.54,24.7
LKA,99.59,29.1,1.25,27.7
LKA,99.76,30.2,1.27,26.2
LKA,99.97,31.5,1.28,28.4
LKA,100.0,32.6,3.2,28.911964439541755
LKA,100.0,31.705194805194783,1.44,29.80186853730234
LKA,100.0,32.44398644833426,1.6350197628458503,30.691772635062925
LKA,100.0,33.18277809147373,1.6510177865612654,31.581676732823524
