id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LSO,4.26,16.1,6.43,2.3
LSO,1.3,17.6,6.58,2.4
LSO,3.37,19.2,6.07,2.5
LSO,5.45,20.7,5.94,2.5
LSO,6.8,22.4,6.67,2.4
LSO,9.62,23.7,4.38,2.6
LSO,9.7,25.4,3.88,3.1
LSO,13.86,26.8,3.74,3.4
LSO,16.01,28.2,3.64,3.6
LSO,17.0,29.6,3.42,3.7
LSO,17.0,30.8,3.28,3.9
LSO,22.53,32.2,6.25,4.2
LSO,20.56,33.3,6.36,4.4
LSO,26.88,34.5,4.53,5.5
LSO,27.8,35.5,4.75,5.2
LSO,31.78,36.4,4.21,5.6
LSO,35.07,37.3,4.23,6.3
LSO,33.7,38.2,4.65,5.5
LSO,47.0,39.0,4.39,6.6
LSO,44.56,39.6,4.76,6.5
LSO,47.5,40.4,4.33,5.9
LSO,50.38,41.1,4.94,4.6
LSO,52.51725769326413,44.249350649350625,6.24,6.631168831168828
LSO,54.87862128228833,45.456804065499696,4.618623483183256,6.841389045736869
LSO,57.23998487131253,46.66425748164877,4.608313043148216,7.05160926030491
