id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LTU,99.48,100.0,1.13,17.2
LTU,99.46,100.0,0.93,17.6
LTU,99.43,100.0,0.78,17.9
LTU,99.4,100.0,0.72,18.1
LTU,99.37,100.0,0.75,18.1
LTU,99.36,100.0,1.04,17.5
LTU,99.37,100.0,1.29,17.5
LTU,99.4,100.0,1.26,17.1
LTU,99.44,100.0,1.23,18.3
LTU,99.5,100.0,0.97,20.1
LTU,99.72,100.0,3.09,21.5
LTU,99.72,100.0,3.68,22.7
LTU,100.0,100.0,3.42,23.9
LTU,100.0,100.0,3.49,26.3
LTU,100.0,100.0,4.01,27.7
LTU,100.0,100.0,3.49,29.0
LTU,100.0,100.0,4.11,31.5
LTU,100.0,100.0,4.25,33.8
LTU,100.0,100.0,5.29,33.7
LTU,100.0,100.0,4.69,33.5
LTU,100.0,100.0,3.21,31.7
LTU,100.0,100.0,3.91,33.807340490485515
LTU,100.0,99.99999999999996,3.6,34.045753050559746
LTU,100.0,99.99999999999997,4.975691699604743,34.28416561063398
LTU,100.0,99.99999999999999,5.171709486166009,34.5225781707082
