id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MEX,98.01,82.6,1.91,12.2
MEX,97.14,83.2,1.91,11.3
MEX,97.9,83.7,1.89,10.7
MEX,97.36,84.2,1.85,10.2
MEX,98.6,84.7,1.85,10.2
MEX,98.93,84.8,1.86,10.3
MEX,99.11,85.0,1.85,9.8
MEX,97.92,85.1,1.79,9.5
MEX,98.91,85.2,1.76,9.8
MEX,98.3,85.0,1.72,9.2
MEX,99.24,85.0,1.66,9.4
MEX,99.01,84.85,1.6,9.1
MEX,99.11,84.7,1.63,9.0
MEX,99.15,84.6,1.67,9.2
MEX,99.17,84.5,1.61,9.8
MEX,99.0,84.6,1.54,9.2
MEX,99.5,84.6,1.5,9.2
MEX,100.0,84.7,1.44,10.0
MEX,99.5,84.6,1.36,10.2
MEX,99.6,84.6,1.41,10.3
MEX,99.4,84.5,1.41,12.3
MEX,100.0,84.6,1.45,9.65
MEX,100.0,84.99610389610386,1.54,9.614285714285714
MEX,100.0,85.0378599661208,1.3554940711462453,9.57857142857143
MEX,100.0,85.07961603613776,1.330009881422925,9.542857142857144
