id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MLI,9.63,0.8,1.0,7.5
MLI,10.8,0.8,1.08,8.2
MLI,13.04,0.8,1.09,8.1
MLI,14.74,0.8,1.11,7.7
MLI,16.44,0.9,1.11,8.2
MLI,18.16,0.9,0.98,8.2
MLI,16.6,0.9,0.97,8.2
MLI,21.65,0.9,1.13,8.0
MLI,23.43,0.9,1.08,7.7
MLI,24.03,0.9,1.2,7.7
MLI,27.01,0.9,0.88,7.8
MLI,28.82,0.9,1.06,7.9
MLI,25.6,0.9,1.05,7.9
MLI,32.43,0.9,1.25,8.5
MLI,34.22,0.9,1.25,8.6
MLI,37.6,0.9,1.31,8.6
MLI,38.8,0.9,1.4,7.8
MLI,34.78,0.9,1.35,7.6
MLI,50.9,0.9,1.45,7.7
MLI,47.86,0.9,1.87,7.4
MLI,50.64,0.9,2.02,7.3
MLI,53.38,0.9,2.12,7.3
MLI,55.540108798574664,0.9285714285714279,1.87,7.690909090909084
MLI,57.877462807950074,0.9326369282891017,1.7942292490118574,7.672332015810271
MLI,60.214816817325485,0.9367024280067755,1.8363932806324108,7.653754940711458
