id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MMR,41.87,2.0,2.0,3.6
MMR,42.95,2.2,1.9,3.6
MMR,47.0,2.6,1.84,3.8
MMR,45.09,3.0,1.84,3.6
MMR,46.17,3.5,2.24,3.7
MMR,47.25,4.1,1.92,3.7
MMR,48.36,4.9,2.08,4.1
MMR,49.49,5.8,2.01,4.2
MMR,50.63,6.8,1.48,4.7
MMR,51.79,8.1,1.47,5.2
MMR,48.8,9.6,1.52,5.7
MMR,54.13,11.4,1.45,6.2
MMR,55.3,13.4,1.06,6.0
MMR,56.47,15.7,1.02,6.3
MMR,52.0,18.3,1.1,6.1
MMR,60.5,21.2,1.35,6.3
MMR,55.6,24.3,1.17,6.4
MMR,69.82,27.7,1.12,5.8
MMR,66.1,31.3,1.57,6.5
MMR,68.31,35.2,1.74,6.4
MMR,70.42,39.2,1.84,6.4
MMR,72.47,43.5,1.78,7.118571428571427
MMR,74.59617519845254,44.063622452712906,1.71,7.296883116883116
MMR,76.70432352020379,47.14870812290091,1.3288537549407116,7.475194805194804
MMR,78.81247184195503,50.23379379308891,1.3047727272727272,7.653506493506493
