id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MNG,67.3,22.6,2.55,1.7
MNG,71.72,23.1,2.62,1.8
MNG,72.76,23.7,2.65,1.9
MNG,76.3,24.6,2.55,1.8
MNG,74.84,25.7,2.59,1.7
MNG,86.2,26.6,2.5,1.6
MNG,76.96,28.0,2.63,1.3
MNG,78.06,29.4,3.23,1.4
MNG,79.17,31.2,2.98,1.4
MNG,80.29,33.1,3.23,1.4
MNG,78.5,35.1,3.19,1.4
MNG,72.06,37.0,4.71,1.3
MNG,83.71,38.5,7.27,1.0
MNG,81.2,40.4,8.66,1.1
MNG,85.98,42.0,5.51,1.4
MNG,87.97,43.8,4.22,1.5
MNG,90.81,45.35,4.52,1.4
MNG,93.62,46.9,5.66,1.4
MNG,98.1,48.4,6.91,1.6
MNG,98.92,49.9,6.81,1.9
MNG,99.5,51.4,5.59,2.1
MNG,100.0,53.0,5.15,1.471428571428571
MNG,100.0,54.24090909090905,4.86,1.4662337662337661
MNG,100.0,55.796442687747,5.286499084770298,1.4610389610389607
MNG,100.0,57.35197628458494,5.201998922514982,1.4558441558441555
