id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MRT,19.15,29.4,2.66,0.0
MRT,22.2,30.8,2.45,0.0
MRT,21.74,32.6,2.36,0.0
MRT,23.04,34.1,2.57,0.0
MRT,24.33,35.4,2.53,0.0
MRT,18.2,36.9,2.72,0.0
MRT,26.98,38.0,2.5,0.0
MRT,33.04,39.2,2.74,0.0
MRT,30.0,39.9,2.55,0.0
MRT,31.08,40.7,2.62,0.0
MRT,34.2,41.5,2.48,0.0
MRT,35.3,42.1,2.55,0.0
MRT,36.42,42.7,2.55,0.0
MRT,37.58,43.3,2.21,0.4
MRT,38.8,43.9,2.49,0.4
MRT,39.5,44.6,2.59,0.9
MRT,41.25,45.3,2.25,1.2
MRT,42.9,45.9,2.51,0.9
MRT,43.59,46.4,2.52,1.2
MRT,44.95,47.2,2.43,1.2
MRT,45.4,47.7,2.51,1.3
MRT,47.7,48.3,2.74,1.3
MRT,48.417823620073094,50.29900017257381,2.67,1.2324675324675318
MRT,49.61323948110707,51.12053343941802,2.5201185770750985,1.3048560135516651
MRT,50.80865534214104,51.94206670626221,2.5192588932806315,1.3772444946357982
