id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MUS,99.0,93.2,1.51,19.5
MUS,99.2,93.9,1.5,19.2
MUS,99.4,94.4,1.48,17.0
MUS,99.09,95.1,1.47,18.0
MUS,99.04,95.5,1.43,18.2
MUS,99.0,95.9,1.45,16.8
MUS,98.98,96.3,1.54,15.5
MUS,98.99,96.7,1.5,14.8
MUS,99.01,97.0,1.47,11.8
MUS,99.04,97.2,1.44,11.9
MUS,99.4,97.5,1.46,11.9
MUS,99.6,97.7,1.43,11.2
MUS,99.37,97.9,1.42,10.6
MUS,99.4,98.0,1.41,10.6
MUS,99.47,98.2,1.43,9.9
MUS,99.57,98.3,1.41,10.8
MUS,99.69,98.5,1.43,9.7
MUS,99.61,98.6,1.45,8.8
MUS,99.79,98.7,1.42,8.6
MUS,100.0,98.8,1.4,8.5
MUS,99.46,98.9,1.32,9.0
MUS,99.6,98.9,1.37,6.721083355480833
MUS,99.77285714285709,99.96493506493502,1.22,6.170787314460389
MUS,99.80958780350079,100.0,1.3418577075098814,5.620491273439941
MUS,99.8463184641445,100.0,1.3342588932806323,5.070195232419497
