id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MWI,4.8,2.1,0.71,36.6
MWI,5.21,2.1,0.63,37.2
MWI,5.55,2.1,0.67,39.3
MWI,6.2,2.1,0.7,39.5
MWI,6.9,2.1,0.62,40.0
MWI,6.62,2.1,0.56,41.2
MWI,3.65,2.2,0.54,40.7
MWI,7.41,2.2,0.58,42.0
MWI,7.83,2.2,0.59,42.5
MWI,8.27,2.3,0.61,42.5
MWI,8.7,2.3,0.51,43.4
MWI,7.6,2.3,0.54,43.8
MWI,7.4,2.4,0.52,44.0
MWI,9.0,2.3,0.56,44.0
MWI,11.9,2.3,0.48,46.6
MWI,10.8,2.2,0.5,45.6
MWI,11.0,2.1,0.56,45.1
MWI,12.7,2.1,0.64,43.7
MWI,18.02,2.0,0.96,41.3
MWI,11.2,1.8,1.03,41.7
MWI,11.5,1.7,1.22,40.3
MWI,14.19,1.6,1.6,43.1
MWI,14.178991393837403,1.9675324675324666,1.55,41.20411869070997
MWI,14.948866034078721,1.9544325239977407,1.0748221343873519,40.69994644920301
MWI,15.718740674320042,1.9413325804630146,1.103231225296443,40.195774207696054
