id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MYS,98.59,98.0,1.78,3.2
MYS,98.62,98.0,1.84,3.2
MYS,98.65,98.1,1.78,2.6
MYS,98.67,98.1,1.96,2.4
MYS,98.7,98.1,1.79,2.4
MYS,98.74,98.1,1.71,2.3
MYS,98.8,98.1,1.6,2.5
MYS,98.88,98.0,1.68,2.3
MYS,98.98,97.8,1.8,2.5
MYS,99.3,97.7,1.79,1.7
MYS,99.48,97.6,1.7,1.5
MYS,99.5,97.3,1.63,1.8
MYS,99.8,97.2,1.59,2.3
MYS,99.6,96.9,1.73,2.6
MYS,99.72,96.6,1.66,3.0
MYS,99.86,96.4,1.55,3.4
MYS,99.9,95.9,1.51,4.4
MYS,99.98,95.5,1.49,5.2
MYS,100.0,95.2,1.54,5.3
MYS,100.0,94.9,1.5,5.6
MYS,100.0,94.2,1.47,5.8
MYS,100.0,93.8,1.55,4.6985714285714275
MYS,100.0,94.62857142857138,1.5,4.84
MYS,100.0,94.43224167137207,1.4554545454545453,4.98142857142857
MYS,100.0,94.23591191417275,1.4385177865612646,5.122857142857142
