id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NLD,100.0,100.0,1.93,1.7
NLD,100.0,100.0,1.9,1.8
NLD,100.0,100.0,1.85,1.9
NLD,100.0,100.0,1.87,1.9
NLD,100.0,100.0,1.8,2.2
NLD,100.0,100.0,1.79,2.7
NLD,100.0,100.0,1.76,3.1
NLD,100.0,100.0,1.65,3.7
NLD,100.0,100.0,1.64,3.9
NLD,100.0,100.0,1.5,4.4
NLD,100.0,100.0,1.53,3.9
NLD,100.0,100.0,1.49,4.7
NLD,100.0,100.0,1.61,4.9
NLD,100.0,100.0,1.63,4.9
NLD,100.0,100.0,1.53,5.5
NLD,100.0,100.0,1.51,5.7
NLD,100.0,100.0,1.45,5.6
NLD,100.0,100.0,1.4,6.4
NLD,100.0,100.0,1.39,7.4
NLD,100.0,100.0,1.27,8.6
NLD,100.0,100.0,1.12,10.8
NLD,100.0,100.0,1.16,8.537142857142857
NLD,99.99999999999996,99.99999999999996,1.04,8.898961038961037
NLD,99.99999999999997,99.99999999999997,1.1320553359683792,9.26077922077922
NLD,99.99999999999999,99.99999999999999,1.0966106719367585,9.622597402597401
