id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NOR,100.0,100.0,0.3,60.2
NOR,100.0,100.0,0.36,59.6
NOR,100.0,100.0,0.33,59.5
NOR,100.0,100.0,0.42,56.2
NOR,100.0,100.0,0.41,56.9
NOR,100.0,100.0,0.32,58.6
NOR,100.0,100.0,0.37,57.0
NOR,100.0,100.0,0.34,57.4
NOR,100.0,100.0,0.32,58.5
NOR,100.0,100.0,0.33,56.7
NOR,100.0,100.0,0.37,56.7
NOR,100.0,100.0,0.36,56.7
NOR,100.0,100.0,0.3,57.7
NOR,100.0,100.0,0.34,57.2
NOR,100.0,100.0,0.32,56.3
NOR,100.0,100.0,0.32,57.3
NOR,100.0,100.0,0.3,58.4
NOR,100.0,100.0,0.3,59.5
NOR,100.0,100.0,0.31,59.7
NOR,100.0,100.0,0.33,60.6
NOR,100.0,100.0,0.27,61.3
NOR,100.0,100.0,0.26,60.179368450315856
NOR,99.99999999999996,99.99999999999996,0.29,60.47472519434943
NOR,99.99999999999997,99.99999999999997,0.28561264822134386,60.77008193838297
NOR,99.99999999999999,99.99999999999999,0.28198616600790505,61.065438682416556
