id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NPL,29.87,5.5,1.85,2.8
NPL,24.6,6.9,1.75,2.9
NPL,36.35,8.5,1.24,3.3
NPL,39.59,10.1,1.24,3.4
NPL,37.2,11.8,1.08,3.6
NPL,46.08,13.5,1.19,3.7
NPL,51.2,15.2,0.9,3.7
NPL,52.65,16.7,0.93,3.8
NPL,55.96,18.4,1.2,3.7
NPL,59.28,19.8,1.34,3.9
NPL,68.6,21.3,1.52,4.1
NPL,67.26,22.7,1.51,4.6
NPL,75.22,24.2,1.55,5.4
NPL,77.44,25.6,1.78,6.3
NPL,84.9,26.9,2.0,6.3
NPL,82.01,28.05,2.0,6.3
NPL,90.7,29.5,2.41,6.5
NPL,86.63,30.6,2.72,6.7
NPL,93.92,32.0,3.06,6.9
NPL,89.9,32.9,2.21,7.1
NPL,89.9,34.1,2.41,7.3
NPL,89.9,35.2,1.62,7.544285714285713
NPL,89.48215212325366,37.84415584415581,1.58,7.787272727272726
NPL,89.19548278355093,39.279418407679245,2.3185375494071145,8.03025974025974
NPL,88.9088134438482,40.714680971202675,2.370118577075099,8.273246753246754
