id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PAK,72.82,23.8,1.56,7.6
PAK,73.87,24.8,1.46,7.8
PAK,74.91,25.9,1.49,8.0
PAK,75.95,27.0,1.43,8.3
PAK,77.0,28.1,1.51,7.8
PAK,78.06,29.3,1.43,8.2
PAK,79.14,30.4,1.44,8.1
PAK,80.23,31.6,1.62,7.5
PAK,81.35,32.8,1.66,7.7
PAK,82.48,34.05,1.62,7.7
PAK,87.12,35.1,1.63,8.2
PAK,87.84,36.6,1.63,7.7
PAK,88.57,37.9,1.58,7.8
PAK,89.33,39.2,1.45,8.1
PAK,90.14,40.5,1.45,8.0
PAK,90.98,41.8,1.48,8.0
PAK,91.83,43.2,1.59,7.3
PAK,92.66,44.5,1.66,6.9
PAK,93.4,46.0,1.59,7.2
PAK,93.9,47.6,1.55,7.9
PAK,94.49,49.0,1.4,8.0
PAK,94.92,50.7,1.42,7.6042857142857105
PAK,97.65257283429088,50.99740259740256,1.19,7.586493506493503
PAK,98.70104101633169,52.2704968944099,1.4767193675889327,7.568701298701296
PAK,99.74950919837248,53.54359119141724,1.4735474308300394,7.550909090909087
