id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PAN,81.4,100.0,1.17,18.0
PAN,81.45,100.0,1.36,14.6
PAN,82.11,100.0,1.1,19.2
PAN,87.8,100.0,1.09,17.6
PAN,83.44,100.0,0.99,19.4
PAN,84.12,100.0,1.2,15.4
PAN,84.82,100.0,1.26,14.8
PAN,85.54,100.0,1.14,15.3
PAN,86.28,100.0,1.14,16.1
PAN,87.03,100.0,1.22,14.0
PAN,86.85,100.0,1.23,14.3
PAN,88.56,100.0,1.27,13.8
PAN,89.32,100.0,1.14,15.7
PAN,89.1,100.0,1.17,15.3
PAN,90.85,100.0,1.17,14.6
PAN,91.6,100.0,1.05,16.9
PAN,92.36,100.0,0.96,17.1
PAN,93.7,100.0,1.02,18.8
PAN,93.8,100.0,0.96,19.7
PAN,93.9,100.0,1.15,14.4
PAN,95.34,100.0,0.94,22.7
PAN,95.25,100.0,0.97,26.274076559329206
PAN,96.60115233028657,99.99999999999996,0.89,30.92548084388742
PAN,97.35422280962501,99.99999999999997,0.9799209486166006,35.576885128445625
PAN,98.10729328896343,99.99999999999999,0.9688636363636363,40.228289413003836
