id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PHL,74.7,37.5,1.6,10.3
PHL,75.73,38.4,1.5,10.1
PHL,76.75,39.1,1.45,10.0
PHL,76.6,39.7,1.33,10.2
PHL,87.6,40.2,1.3,10.5
PHL,79.83,40.6,1.3,10.7
PHL,80.18,40.7,1.17,11.7
PHL,81.96,40.8,1.19,11.1
PHL,83.3,41.0,1.27,12.0
PHL,84.3,41.0,1.24,12.1
PHL,85.48,41.2,1.23,11.2
PHL,87.2,41.3,1.21,11.9
PHL,87.08,41.6,1.22,12.2
PHL,87.5,41.8,1.28,11.8
PHL,89.76,42.4,1.31,11.5
PHL,89.08,42.9,1.37,11.4
PHL,91.98,43.7,1.34,10.9
PHL,93.0,44.4,1.43,10.8
PHL,94.19,45.2,1.42,10.8
PHL,95.29,46.3,1.36,10.4
PHL,96.39,47.1,1.31,10.3
PHL,97.49,48.0,1.35,11.338571428571427
PHL,99.00641445168422,46.69220779220776,1.33,11.365454545454543
PHL,100.0,47.09666854884243,1.301501976284585,11.39233766233766
PHL,100.0,47.50112930547711,1.2994169960474304,11.419220779220778
