id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PLW,97.95,53.6,,0.0
PLW,98.0,53.3,,0.0
PLW,98.05,53.05,,0.0
PLW,98.09,52.8,,0.0
PLW,98.14,52.5,,0.0
PLW,98.92,52.5,,0.0
PLW,98.28,52.4,,0.0
PLW,98.38,51.9,,0.0
PLW,98.5,51.7,,0.0
PLW,98.64,51.2,,0.0
PLW,98.78,50.7,,0.0
PLW,98.93,50.1,,0.0
PLW,97.63,49.4,,0.0
PLW,99.22,49.05,,0.0
PLW,99.81,48.4,,0.3
PLW,99.5,47.2,,0.3
PLW,100.0,47.6,,0.6
PLW,100.0,46.55,,0.5
PLW,100.0,46.4,,0.6
PLW,100.0,44.65,,0.9
PLW,100.0,43.9,,0.9
PLW,100.0,43.0,,0.9
PLW,100.0,44.035714285714256,,0.7350649350649344
PLW,100.0,43.54909655561826,,0.7792207792207786
PLW,100.0,43.06247882552228,,0.8233766233766228
