id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PNG,12.39,5.5,1.35,10.8
PNG,12.74,5.6,1.25,9.9
PNG,13.08,5.7,1.27,10.0
PNG,13.42,6.0,1.26,9.5
PNG,13.76,6.2,1.34,8.6
PNG,14.12,6.3,1.37,8.9
PNG,12.4,6.6,1.48,9.1
PNG,14.89,6.8,1.96,9.4
PNG,15.31,7.1,1.63,9.3
PNG,17.2,7.4,1.56,9.4
PNG,19.5,7.7,1.35,9.4
PNG,17.33,7.9,1.46,9.3
PNG,17.55,8.2,1.36,9.5
PNG,17.79,8.5,1.36,13.5
PNG,18.09,8.6,1.56,13.1
PNG,18.41,8.7,1.47,12.8
PNG,13.5,8.9,1.48,12.7
PNG,19.23,9.1,1.53,12.8
PNG,16.6,9.2,1.67,12.3
PNG,23.6,9.3,1.79,12.8
PNG,20.5,9.5,1.84,13.2
PNG,20.92,9.7,1.72,12.8
PNG,20.013183539183643,10.119480519480515,1.62,14.070707813625258
PNG,19.323137386769968,10.33342744212309,1.7183003952569171,14.414992684571988
PNG,18.633091234356293,10.547374364765666,1.7358399209486168,14.759277555518715
