id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PRT,100.0,100.0,1.52,20.1
PRT,100.0,100.0,1.42,20.8
PRT,100.0,100.0,1.53,18.3
PRT,100.0,100.0,1.4,22.1
PRT,100.0,100.0,1.51,19.9
PRT,100.0,100.0,1.52,18.1
PRT,100.0,100.0,1.35,22.3
PRT,100.0,100.0,1.34,23.1
PRT,100.0,100.0,1.33,23.2
PRT,100.0,100.0,1.16,24.9
PRT,100.0,100.0,0.99,27.8
PRT,100.0,100.0,1.0,27.2
PRT,100.0,100.0,1.11,25.5
PRT,100.0,100.0,0.96,30.2
PRT,100.0,100.0,0.93,30.5
PRT,100.0,100.0,1.03,27.2
PRT,100.0,100.0,0.86,29.0
PRT,100.0,100.0,0.97,24.4
PRT,100.0,100.0,0.89,27.5
PRT,100.0,100.0,0.93,28.2
PRT,100.0,100.0,0.82,31.2
PRT,100.0,100.0,0.83,32.73172518289624
PRT,99.99999999999996,99.99999999999996,0.91,34.65749850185101
PRT,99.99999999999997,99.99999999999997,0.7221343873517788,36.58327182080578
PRT,99.99999999999999,99.99999999999999,0.6869861660079052,38.509045139760545
