id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PRY,89.58,48.3,0.07,42.3
PRY,91.04,48.5,0.08,40.1
PRY,91.67,48.5,0.08,38.6
PRY,92.56,48.8,0.08,37.6
PRY,93.25,49.1,0.08,38.1
PRY,94.69,49.8,0.07,40.7
PRY,96.75,50.7,0.07,42.1
PRY,96.45,52.0,0.08,43.2
PRY,96.68,53.8,0.08,41.5
PRY,96.89,55.4,0.08,41.2
PRY,97.43,57.4,0.09,40.9
PRY,98.24,59.3,0.09,40.5
PRY,97.84,61.0,0.09,42.1
PRY,99.02,62.5,0.09,43.3
PRY,99.0,64.0,0.1,43.7
PRY,99.33,65.1,0.11,42.9
PRY,98.4,66.2,0.11,41.5
PRY,99.3,67.1,0.13,39.8
PRY,99.6,67.7,0.14,40.5
PRY,99.7,68.5,0.16,41.6
PRY,99.7,69.05,0.16,43.3
PRY,100.0,69.8,0.23,43.02059661714708
PRY,100.0,72.01398688493924,0.21,43.687986398272486
PRY,100.0,73.11637564860521,0.17399209486166006,44.3553761793979
PRY,100.0,74.2187644122712,0.17950592885375494,45.0227659605233
