id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
QAT,100.0,100.0,4.41,0.0
QAT,100.0,100.0,4.6,0.0
QAT,100.0,100.0,4.12,0.0
QAT,100.0,100.0,3.87,0.0
QAT,100.0,100.0,3.58,0.0
QAT,100.0,100.0,3.3,0.0
QAT,100.0,100.0,3.49,0.0
QAT,100.0,100.0,3.05,0.0
QAT,100.0,100.0,2.85,0.0
QAT,100.0,100.0,2.69,0.0
QAT,100.0,100.0,2.61,0.0
QAT,100.0,100.0,2.65,0.0
QAT,100.0,100.0,2.68,0.0
QAT,100.0,100.0,2.38,0.0
QAT,100.0,100.0,2.35,0.0
QAT,100.0,100.0,2.19,0.0
QAT,100.0,100.0,2.06,0.0
QAT,100.0,100.0,2.19,0.0
QAT,100.0,100.0,1.99,0.0
QAT,100.0,100.0,2.02,0.0
QAT,100.0,100.0,2.08,0.0
QAT,100.0,100.0,2.07,0.0
QAT,99.99999999999996,99.99999999999996,1.88,0.0
QAT,99.99999999999997,99.99999999999997,1.4468379446640316,0.0
QAT,99.99999999999999,99.99999999999999,1.3315019762845848,0.0
