id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ROU,94.41,100.0,1.81,16.4
ROU,94.65,100.0,1.85,13.4
ROU,94.88,100.0,1.83,14.4
ROU,95.11,100.0,1.9,15.7
ROU,95.35,100.0,1.84,17.3
ROU,95.59,100.0,1.73,18.5
ROU,95.86,100.0,1.68,17.4
ROU,96.15,100.0,1.79,18.2
ROU,96.45,100.0,1.68,20.4
ROU,96.77,100.0,1.56,22.1
ROU,97.1,100.0,1.45,24.1
ROU,97.43,100.0,1.52,21.1
ROU,97.77,100.0,1.58,21.5
ROU,98.1,100.0,1.38,23.1
ROU,98.43,100.0,1.23,24.3
ROU,98.76,100.0,1.2,23.7
ROU,99.1,100.0,1.21,24.4
ROU,100.0,100.0,1.27,23.4
ROU,99.82,100.0,1.27,23.0
ROU,100.0,100.0,1.32,23.5
ROU,100.0,100.0,1.36,24.1
ROU,100.0,100.0,1.33,24.22599895703765
ROU,100.0,99.99999999999996,1.34,24.387863316456716
ROU,100.0,99.99999999999997,1.144624505928854,24.549727675875772
ROU,100.0,99.99999999999999,1.1127272727272728,24.711592035294842
