id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
RUS,97.81,99.9,1.72,3.5
RUS,97.86,99.9,1.74,3.6
RUS,97.9,99.8,1.72,3.5
RUS,97.93,99.7,1.71,3.3
RUS,97.98,99.5,1.69,3.6
RUS,98.03,99.3,1.68,3.6
RUS,98.11,98.9,1.67,3.5
RUS,98.21,98.4,1.64,3.7
RUS,98.32,97.8,1.62,3.3
RUS,98.45,97.1,1.59,3.6
RUS,99.27,96.1,1.61,3.3
RUS,99.21,94.9,1.63,3.2
RUS,100.0,93.8,1.62,3.2
RUS,100.0,92.1,1.58,3.6
RUS,100.0,90.3,1.57,3.3
RUS,95.5,88.3,1.57,3.2
RUS,99.41,86.1,1.53,3.4
RUS,100.0,83.6,1.55,3.2
RUS,100.0,81.4,1.58,3.2
RUS,99.78,78.5,1.56,3.2
RUS,99.9,76.0,1.51,3.7
RUS,100.0,72.9,1.49,3.2771428571428562
RUS,100.0,73.410924803913,1.45,3.264675324675324
RUS,100.0,71.43567055750655,1.476600790513834,3.252207792207791
RUS,100.0,69.46041631110009,1.46548418972332,3.239740259740259
