id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SAU,100.0,100.0,2.4,0.0
SAU,100.0,100.0,2.27,0.0
SAU,100.0,100.0,2.34,0.0
SAU,100.0,100.0,2.18,0.0
SAU,100.0,100.0,2.51,0.0
SAU,100.0,100.0,2.29,0.0
SAU,100.0,100.0,2.42,0.0
SAU,100.0,100.0,2.07,0.0
SAU,100.0,100.0,2.16,0.0
SAU,100.0,100.0,2.18,0.0
SAU,100.0,100.0,2.19,0.0
SAU,100.0,100.0,2.01,0.0
SAU,100.0,100.0,1.96,0.0
SAU,100.0,100.0,1.8,0.0
SAU,100.0,100.0,1.82,0.0
SAU,100.0,100.0,1.88,0.0
SAU,99.9,100.0,1.89,0.0
SAU,99.97,100.0,1.79,0.0
SAU,99.89,100.0,1.77,0.0
SAU,99.99,100.0,1.82,0.0
SAU,99.99,100.0,1.55,0.1
SAU,100.0,100.0,1.54,0.019047619047619046
SAU,99.96545454545449,99.99999999999996,1.53,0.020346320346320345
SAU,99.96347826086954,99.99999999999997,1.5363241106719367,0.021645021645021648
SAU,99.96150197628457,99.99999999999999,1.4963438735177863,0.022943722943722947
