id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SDN,23.0,7.4,2.08,23.3
SDN,29.39,9.3,2.23,22.9
SDN,29.65,11.3,2.53,21.0
SDN,29.92,13.1,2.45,21.6
SDN,30.19,15.3,3.01,21.7
SDN,30.48,18.0,2.66,21.4
SDN,30.78,20.8,2.48,23.0
SDN,31.11,23.3,2.62,21.9
SDN,19.97,26.3,2.51,21.2
SDN,29.0,29.4,2.23,21.8
SDN,35.99,31.9,1.98,22.4
SDN,38.34,35.3,1.72,23.3
SDN,40.7,38.35,1.6,23.3
SDN,43.1,41.6,1.64,24.1
SDN,44.9,44.5,1.54,24.4
SDN,48.02,47.2,1.62,23.3
SDN,50.51,50.3,1.38,22.0
SDN,52.97,52.75,1.31,22.7
SDN,55.34,55.7,1.33,22.5
SDN,57.57,58.0,1.34,22.2
SDN,59.7,60.45,1.19,22.9
SDN,61.77,62.8,1.25,23.070476190476185
SDN,64.39733835743813,66.06753246753243,1.23,23.120606060606054
SDN,66.7367513022109,68.83605307735739,1.0334782608695652,23.170735930735926
SDN,69.07616424698365,71.60457368718235,0.9604347826086956,23.220865800865795
