id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SLB,4.68,8.7,3.54,0.0
SLB,7.59,8.6,4.05,0.0
SLB,10.5,8.6,4.23,0.0
SLB,13.41,8.4,4.48,0.0
SLB,16.32,8.4,4.79,0.1
SLB,19.24,8.3,4.14,0.0
SLB,14.4,8.3,4.14,0.1
SLB,12.9,8.2,3.74,0.1
SLB,28.13,8.2,3.78,0.1
SLB,21.2,8.2,3.96,0.2
SLB,35.42,8.3,3.97,0.1
SLB,39.14,8.3,4.22,0.2
SLB,42.89,8.3,4.23,0.2
SLB,44.7,8.4,4.24,0.2
SLB,50.48,8.4,3.53,0.3
SLB,55.1,8.5,3.08,0.3
SLB,58.2,8.6,2.82,0.3
SLB,62.9,8.6,2.7,0.4
SLB,65.79,8.8,2.71,0.3
SLB,69.4,8.9,2.67,0.3
SLB,72.9,8.9,2.66,0.3
SLB,76.35,8.9,2.77,0.4
SLB,80.77742493885808,8.694805194805188,2.74,0.4025974025974023
SLB,84.5721900981737,8.712535290796156,2.6377470355731227,0.42219085262563494
SLB,88.36695525748934,8.73026538678712,2.556146245059289,0.4417843026538676
