id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SLE,7.73,0.1,2.88,20.1
SLE,8.47,0.1,2.67,20.2
SLE,9.21,0.1,3.2,20.0
SLE,9.95,0.2,3.73,20.1
SLE,16.8,0.2,4.38,20.7
SLE,11.33,0.3,5.13,21.6
SLE,12.21,0.3,10.55,21.2
SLE,13.01,0.3,8.12,22.3
SLE,12.1,0.4,8.29,22.9
SLE,14.64,0.4,8.1,23.5
SLE,11.46,0.4,3.75,23.8
SLE,14.2,0.4,4.13,23.3
SLE,17.16,0.5,4.71,23.1
SLE,13.5,0.5,6.39,22.2
SLE,18.83,0.5,7.48,22.4
SLE,19.66,0.6,6.38,23.1
SLE,20.3,0.6,5.49,23.7
SLE,23.4,0.6,4.81,24.4
SLE,26.1,0.7,3.84,25.3
SLE,22.7,0.7,4.92,25.6
SLE,26.31,0.8,5.18,25.9
SLE,27.49,0.8,5.61,24.8
SLE,29.718482609646955,0.815584415584415,5.7,25.74935064935063
SLE,31.744411691174584,0.8489553924336528,5.530518688842952,26.011349520045155
SLE,33.770340772702205,0.8823263692828904,5.633641818910962,26.273348390739677
