id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SOM,2.11,0.4,1.91,25.0
SOM,4.69,0.4,1.91,25.1
SOM,7.4,0.4,2.03,25.3
SOM,9.82,0.5,2.0,26.0
SOM,12.39,0.5,2.0,26.5
SOM,14.98,0.6,1.95,26.8
SOM,15.23,0.7,1.88,27.3
SOM,20.21,0.7,1.96,27.5
SOM,22.85,0.8,1.86,28.0
SOM,25.51,0.9,1.83,28.5
SOM,52.27,1.1,1.87,28.9
SOM,52.01,1.2,1.83,28.4
SOM,51.76,1.4,1.77,30.1
SOM,51.55,1.6,1.78,34.2
SOM,51.38,1.7,1.78,33.2
SOM,51.24,2.0,1.77,33.9
SOM,51.12,2.2,1.76,33.2
SOM,52.1,2.4,1.74,33.6
SOM,50.73,2.7,1.74,34.1
SOM,49.2,3.1,1.74,34.5
SOM,49.86,3.4,1.61,35.2
SOM,49.32,3.8,1.73,35.6
SOM,49.22375189997226,3.255844155844154,1.71,36.46753246753245
SOM,48.92492491962332,3.4105025409373217,1.6582608695652172,37.02636928289101
SOM,48.626097939274366,3.5651609260304897,1.6436956521739128,37.585206098249564
