id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SRB,99.85,57.7,,22.1
SRB,99.81,58.6,,19.6
SRB,100.0,59.7,,18.0
SRB,99.7,60.7,,15.7
SRB,99.65,61.5,,14.6
SRB,99.69,62.6,,16.1
SRB,99.59,63.6,1.71,15.3
SRB,99.59,64.7,1.67,14.0
SRB,99.61,65.5,1.42,15.5
SRB,99.65,66.6,1.23,20.7
SRB,99.72,67.5,1.23,20.5
SRB,99.74,68.4,1.3,17.4
SRB,99.79,69.4,1.22,19.5
SRB,99.92,70.7,1.15,20.0
SRB,99.66,71.9,1.12,23.2
SRB,99.9,73.1,1.18,21.2
SRB,99.95,74.4,1.18,20.9
SRB,100.0,75.6,1.26,20.0
SRB,99.99,76.9,1.22,21.1
SRB,99.8,78.2,1.21,21.5
SRB,100.0,79.6,1.31,26.0
SRB,100.0,80.6,1.28,27.382501130100433
SRB,99.93285714285709,81.00129870129867,1.34,29.699313077396788
SRB,99.94437041219645,82.08639186900054,1.1489705882352947,32.01612502469314
SRB,99.95588368153582,83.17148503670239,1.13264705882353,34.3329369719895
