id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SSD,,0.1,,
SSD,,0.1,,
SSD,,0.1,,
SSD,,0.1,,
SSD,,0.0,,
SSD,,0.0,,
SSD,,0.0,,
SSD,0.8,0.0,,
SSD,1.28,0.0,,
SSD,3.0,0.0,,
SSD,1.5,0.0,,
SSD,2.79,0.0,,
SSD,3.3,0.0,2.99,2.1
SSD,3.81,0.0,3.06,2.5
SSD,4.31,0.0,3.17,2.5
SSD,4.81,0.0,3.31,1.3
SSD,5.31,0.0,3.27,1.4
SSD,4.2,0.0,2.68,1.6
SSD,6.29,0.0,3.17,1.4
SSD,6.77,0.0,3.2,1.5
SSD,7.26,0.0,3.03,1.5
SSD,7.75,0.0,3.17,1.147222222222223
SSD,7.977428571428571,0.0,2.96,1.0255555555555562
SSD,8.448107142857143,0.0,3.0672727272727274,0.9038888888888897
SSD,8.918785714285713,0.0,3.063181818181819,0.7822222222222233
